"术门等级"	"单次点击所需要的勾玉数量"	"成功率"	"需求物品ID"	
"level"	"count"	"rate"	"itemid"	
"int"	"int"	"float"	"int"	
"cs"	"cs"	"cs"	"c"	
"1"	"100"	"1.000000"	"400223"	
"2"	"100"	"1.000000"	"400223"	
"3"	"100"	"1.000000"	"400223"	
"4"	"100"	"1.000000"	"400223"	
"5"	"100"	"1.000000"	"400223"	
"6"	"100"	"1.000000"	"400223"	
"7"	"100"	"1.000000"	"400223"	
"8"	"100"	"1.000000"	"400223"	
"9"	"100"	"1.000000"	"400223"	
"10"	"100"	"1.000000"	"400223"	
"11"	"100"	"1.000000"	"400223"	
"12"	"100"	"1.000000"	"400223"	
"13"	"100"	"1.000000"	"400223"	
"14"	"100"	"1.000000"	"400223"	
"15"	"100"	"1.000000"	"400223"	
"16"	"100"	"1.000000"	"400223"	
"17"	"100"	"1.000000"	"400223"	
"18"	"100"	"1.000000"	"400223"	
"19"	"100"	"1.000000"	"400223"	
"20"	"100"	"1.000000"	"400223"	
"21"	"120"	"0.800000"	"400223"	
"22"	"120"	"0.800000"	"400223"	
"23"	"120"	"0.800000"	"400223"	
"24"	"120"	"0.800000"	"400223"	
"25"	"120"	"0.800000"	"400223"	
"26"	"120"	"0.800000"	"400223"	
"27"	"120"	"0.800000"	"400223"	
"28"	"120"	"0.800000"	"400223"	
"29"	"120"	"0.800000"	"400223"	
"30"	"120"	"0.800000"	"400223"	
"31"	"150"	"0.600000"	"400223"	
"32"	"150"	"0.600000"	"400223"	
"33"	"150"	"0.600000"	"400223"	
"34"	"150"	"0.600000"	"400223"	
"35"	"150"	"0.600000"	"400223"	
"36"	"150"	"0.600000"	"400223"	
"37"	"150"	"0.600000"	"400223"	
"38"	"150"	"0.600000"	"400223"	
"39"	"150"	"0.600000"	"400223"	
"40"	"150"	"0.600000"	"400223"	
"41"	"200"	"0.400000"	"400223"	
"42"	"200"	"0.400000"	"400223"	
"43"	"200"	"0.400000"	"400223"	
"44"	"200"	"0.400000"	"400223"	
"45"	"200"	"0.400000"	"400223"	
"46"	"200"	"0.400000"	"400223"	
"47"	"200"	"0.400000"	"400223"	
"48"	"200"	"0.400000"	"400223"	
"49"	"200"	"0.400000"	"400223"	
"50"	"200"	"0.400000"	"400223"	
"51"	"200"	"0.200000"	"400223"	
"52"	"200"	"0.200000"	"400223"	
"53"	"200"	"0.200000"	"400223"	
"54"	"200"	"0.200000"	"400223"	
"55"	"200"	"0.200000"	"400223"	
"56"	"200"	"0.200000"	"400223"	
"57"	"200"	"0.200000"	"400223"	
"58"	"200"	"0.200000"	"400223"	
"59"	"200"	"0.200000"	"400223"	
"60"	"200"	"0.200000"	"400223"	
