"顺延ID"	"职业（1-3对应战弓法）"	"装备位（0-7）"	"该槽位对应宝石类型"	"该槽位对应1级宝石"	"宝石名（注释）"	"特殊槽位对应宝石类型"	"普通宝石孔需要宝石子类型名称"	""	
"id"	"profession"	"equipIndex"	"gemSubType"	"buyGemId"	""	"specGemSubType"	"stringIds"	""	
"int"	"int"	"int"	"int[5]"	"int[5]"	""	"int[]"	"int[]"	""	
"cs"	"cs"	"cs"	"cs"	"cs"	""	"cs"	"c"	""	
"1"	"1"	"0"	"5,5,5,0,0"	"700105,700105,700105,0,0"	"物攻、物攻、物攻+元素攻击、暴击、暴伤"	"13,14,15,16,9,10"	"100935,100935,100935"	""	
"2"	"1"	"1"	"7,8,3,0,0"	"700107,700108,700103,0,0"	"物防、魔防、体质+元素攻击、闪避、格挡"	"13,14,15,16,11,12"	"100937,100938,100933"	""	
"3"	"1"	"2"	"7,8,3,0,0"	"700107,700108,700103,0,0"	"物防、魔防、体质+元素攻击、闪避、格挡"	"13,14,15,16,11,12"	"100937,100938,100933"	""	
"4"	"1"	"3"	"7,8,3,0,0"	"700107,700108,700103,0,0"	"物防、魔防、体质+元素攻击、闪避、格挡"	"13,14,15,16,11,12"	"100937,100938,100933"	""	
"5"	"1"	"4"	"7,8,3,0,0"	"700107,700108,700103,0,0"	"物防、魔防、体质+元素攻击、闪避、格挡"	"13,14,15,16,11,12"	"100937,100938,100933"	""	
"6"	"1"	"5"	"1,1,5,0,0"	"700101,700101,700105,0,0"	"力量、力量、物攻+全元素抗、暴击、暴伤"	"17,18,19,20,9,10"	"100931,100931,100935"	""	
"7"	"1"	"6"	"1,1,1,0,0"	"700101,700101,700101,0,0"	"力量、力量、力量+全元素抗、暴击、暴伤"	"17,18,19,20,9,10"	"100931,100931,100931"	""	
"8"	"1"	"7"	"3,3,4,0,0"	"700103,700103,700104,0,0"	"体质、体质、精神+全元素抗、暴击、暴伤"	"17,18,19,20,9,10"	"100933,100933,100934"	""	
"9"	"2"	"0"	"5,5,5,0,0"	"700105,700105,700105,0,0"	"物攻、物攻、物攻+元素攻击、暴击、暴伤"	"13,14,15,16,9,10"	"100935,100935,100935"	""	
"10"	"2"	"1"	"7,8,3,0,0"	"700107,700108,700103,0,0"	"物防、魔防、体质+元素攻击、闪避、格挡"	"13,14,15,16,11,12"	"100937,100938,100933"	""	
"11"	"2"	"2"	"7,8,3,0,0"	"700107,700108,700103,0,0"	"物防、魔防、体质+元素攻击、闪避、格挡"	"13,14,15,16,11,12"	"100937,100938,100933"	""	
"12"	"2"	"3"	"7,8,3,0,0"	"700107,700108,700103,0,0"	"物防、魔防、体质+元素攻击、闪避、格挡"	"13,14,15,16,11,12"	"100937,100938,100933"	""	
"13"	"2"	"4"	"7,8,3,0,0"	"700107,700108,700103,0,0"	"物防、魔防、体质+元素攻击、闪避、格挡"	"13,14,15,16,11,12"	"100937,100938,100933"	""	
"14"	"2"	"5"	"1,1,5,0,0"	"700101,700101,700105,0,0"	"力量、力量、物攻+全元素抗、暴击、暴伤"	"17,18,19,20,9,10"	"100931,100931,100935"	""	
"15"	"2"	"6"	"1,1,1,0,0"	"700101,700101,700101,0,0"	"力量、力量、力量+全元素抗、暴击、暴伤"	"17,18,19,20,9,10"	"100931,100931,100931"	""	
"16"	"2"	"7"	"3,3,4,0,0"	"700103,700103,700104,0,0"	"体质、体质、精神+全元素抗、暴击、暴伤"	"17,18,19,20,9,10"	"100933,100933,100934"	""	
"17"	"3"	"0"	"6,6,6,0,0"	"700106,700106,700106,0,0"	"法攻、法攻、法攻+元素攻击、暴击、暴伤"	"13,14,15,16,9,10"	"100936,100936,100936"	""	
"18"	"3"	"1"	"7,8,3,0,0"	"700107,700108,700103,0,0"	"物防、魔防、体质+元素攻击、闪避、格挡"	"13,14,15,16,11,12"	"100937,100938,100933"	""	
"19"	"3"	"2"	"7,8,3,0,0"	"700107,700108,700103,0,0"	"物防、魔防、体质+元素攻击、闪避、格挡"	"13,14,15,16,11,12"	"100937,100938,100933"	""	
"20"	"3"	"3"	"7,8,3,0,0"	"700107,700108,700103,0,0"	"物防、魔防、体质+元素攻击、闪避、格挡"	"13,14,15,16,11,12"	"100937,100938,100933"	""	
"21"	"3"	"4"	"7,8,3,0,0"	"700107,700108,700103,0,0"	"物防、魔防、体质+元素攻击、闪避、格挡"	"13,14,15,16,11,12"	"100937,100938,100933"	""	
"22"	"3"	"5"	"2,2,6,0,0"	"700102,700102,700106,0,0"	"智力、智力、法攻+全元素抗、暴击、暴伤"	"17,18,19,20,9,10"	"100932,100932,100936"	""	
"23"	"3"	"6"	"2,2,2,0,0"	"700102,700102,700102,0,0"	"智力、智力、智力+全元素抗、暴击、暴伤"	"17,18,19,20,9,10"	"100932,100932,100932"	""	
"24"	"3"	"7"	"3,3,4,0,0"	"700103,700103,700104,0,0"	"体质、体质、精神+全元素抗、暴击、暴伤"	"17,18,19,20,9,10"	"100933,100933,100934"	""	
